id,date,store_nbr,family,sales,onpromotion,city,state,type_x,cluster,dcoilwtico,type_y,locale_x,locale_name,description,transferred,is_holiday,holiday_type,sales_scaled,dcoilwtico_scaled,day_of_week,month,is_weekend,month_sin,month_cos,dow_sin,dow_cos,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_28,rolling_mean_7,rolling_std_7,rolling_mean_28,rolling_std_28,year,quarter,day_of_month,week_of_year,is_month_start,is_month_end,expanding_mean_sales,promo_lag_1,promo_lag_7,promo_rolling_mean_7,locale_y,is_national_holiday,days_to_next_holiday,is_anomaly
2697948,2017-02-27,1,0,3.0,0,Quito,Pichincha,3,4,54.04,Holiday,National,Ecuador,Carnaval,False,1,3,2.40544592958458e-05,0.3298590548383275,0,2,0,0.8660254037844386,0.5000000000000001,0.0,1.0,1.0,2.0,3.0,3.0,3.571428571428572,4.276179870598796,3.607142857142857,2.5289331041968333,2017,1,27,9,0,0,3.1380449141347424,0.0,0.0,0.0,National,0,0,0
2699730,2017-02-28,1,0,2.0,0,Quito,Pichincha,3,4,54.0,Holiday,National,Ecuador,Carnaval,False,1,3,1.603630619723053e-05,0.3293852895890086,1,2,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,3.0,2.0,2.0,5.0,3.7142857142857135,4.231401884099636,3.607142857142857,2.5289331041968333,2017,1,28,9,0,1,3.137953795379538,0.0,0.0,0.0,National,0,0,0
2703294,2017-03-02,1,0,3.0,0,Quito,Pichincha,3,4,52.63,Holiday,Local,Manta,Fundacion de Manta,False,1,3,2.40544592958458e-05,0.3131588297998342,3,3,0,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,1.0,1.0,3.0,3.0,3.2857142857142856,4.347960660443232,3.2857142857142856,2.4774111765240194,2017,1,2,9,0,0,3.135794330916282,0.0,0.0,0.0,Local,0,0,0
2756754,2017-04-01,1,0,9.0,0,Quito,Pichincha,3,4,50.443333333333335,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False,1,3,7.216337788753739e-05,0.2872596628370643,5,4,1,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,5.0,5.0,3.0,6.0,4.285714285714286,1.380131118684725,3.892857142857143,1.9690058727652675,2017,2,1,13,1,0,3.1506140917905623,0.0,0.0,0.0,Regional,0,0,0
2776356,2017-04-12,1,0,3.0,0,Quito,Pichincha,3,4,53.12,Holiday,Local,Cuenca,Fundacion de Cuenca,True,1,3,2.40544592958458e-05,0.3189624541039914,2,4,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,6.0,5.0,2.0,7.0,6.428571428571429,2.760262237369425,5.25,2.5909386258579987,2017,2,12,15,0,0,3.174582798459564,0.0,0.0,0.0,Local,0,0,0
2778138,2017-04-13,1,0,9.0,0,Quito,Pichincha,3,4,53.19,Transfer,Local,Cuenca,Fundacion de Cuenca,False,1,5,7.216337788753739e-05,0.3197915432902996,3,4,0,0.8660254037844387,-0.4999999999999998,0.4338837391175582,-0.900968867902419,3.0,10.0,3.0,4.0,6.142857142857143,3.023715784073826,5.107142857142857,2.601129180927581,2017,2,13,15,0,0,3.17447081462476,0.0,0.0,0.0,Local,0,0,0
2779920,2017-04-14,1,0,1.0,0,Quito,Pichincha,3,4,53.0475,Holiday,Local,Libertad,Cantonizacion de Libertad,False,1,3,8.018153098615266e-06,0.3181037545896008,4,4,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,9.0,9.0,5.0,6.0,6.0,2.8284271247461987,5.285714285714286,2.692336763608375,2017,2,14,15,0,0,3.178205128205128,0.0,0.0,0.0,National,0,0,0
2792394,2017-04-21,1,0,5.0,0,Quito,Pichincha,3,4,49.64,Holiday,Local,Riobamba,Cantonizacion de Riobamba,False,1,3,4.009076549307633e-05,0.2777448774132417,4,4,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,2.0,1.0,9.0,7.0,2.142857142857143,1.2149857925879295,4.857142857142857,2.863748976614078,2017,2,21,16,0,0,3.173580089342693,0.0,0.0,0.0,Local,0,0,0
2810214,2017-05-01,1,0,0.0,0,Quito,Pichincha,3,4,48.83,Holiday,National,Ecuador,Dia del Trabajo,False,1,3,0.0,0.2681511311145327,0,5,0,0.4999999999999999,-0.8660254037844387,0.0,1.0,3.0,6.0,1.0,11.0,3.857142857142857,2.267786838055374,4.428571428571429,2.936722428888812,2017,2,1,18,1,0,3.1775523145212428,0.0,0.0,0.0,National,0,0,0
2829816,2017-05-12,1,0,4.0,0,Quito,Pichincha,3,4,47.83,Holiday,Local,Puyo,Cantonizacion del Puyo,False,1,3,3.207261239446106e-05,0.2563069998815587,4,5,0,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,4.0,12.0,3.0,1.0,4.571428571428571,3.4572215654165133,3.392857142857143,2.439479083955875,2017,2,12,19,0,0,3.181989924433249,0.0,0.0,0.0,Local,0,0,0
